BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6360,23, ,A5,8645 15TH AVENUE, ,11228,1,0,1,1547,1428,1930,1,A5,750000,5/18/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6367,41, ,S1,1728 86TH STREET, ,11214,1,1,2,1342,1920,1931,1,S1,1380000,7/26/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6371,20, ,A9,75 BAY 20TH   STREET, ,11214,1,0,1,2417,1742,1930,1,A9,710000,2/21/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6373,73, ,A1,50 BAY 23RD STREET, ,11214,1,0,1,2417,1672,1930,1,A1,0,1/8/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6380,73, ,S1,8672 BAY PARKWAY, ,11214,1,1,2,1740,2124,1960,1,S1,968000,7/30/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6399,107, ,S1,1655 BATH AVENUE, ,11214,1,1,2,1260,1440,1930,1,S1,750000,3/15/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,61, ,A9,286 BAY 10TH STREET, ,11228,1,0,1,1933,1152,1920,1,A9,780000,1/9/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,62, ,A9,288 BAY 10TH ST, ,11228,1,0,1,1933,1152,1920,1,A9,0,11/17/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,229, ,A5,8900 16TH AVENUE, ,11214,1,0,1,1980,1188,1950,1,A5,844000,11/17/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,267, ,A9,304 BAY 10TH STREET, ,11228,1,0,1,1933,1184,1920,1,A9,770000,1/5/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,94, ,A5,275 BAY 14TH STREET, ,11214,1,0,1,1795,1152,1930,1,A5,0,11/3/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,94, ,A5,275 BAY 14TH STREET, ,11214,1,0,1,1795,1152,1930,1,A5,0,9/19/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,127, ,A5,304 BAY 14TH STREET, ,11214,1,0,1,1511,928,1950,1,A5,0,3/27/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,138, ,A5,326 BAY 14TH STREET, ,11214,1,0,1,1511,992,1950,1,A5,0,12/5/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,191, ,A9,8875 16TH AVENUE, ,11214,1,0,1,2132,1188,1940,1,A9,0,6/12/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,191, ,A9,8875 16TH AVENUE, ,11214,1,0,1,2132,1188,1940,1,A9,840000,9/21/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,194, ,A9,273 BAY 14TH   STREET, ,11214,1,0,1,1795,1152,1930,1,A9,885000,3/27/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,301, ,A5,317 BAY 13TH STREET, ,11214,1,0,1,1619,928,1940,1,A5,300000,7/18/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6464,113, ,A9,287 BAY 20TH STREET, ,11214,1,0,1,1551,1320,1940,1,A9,0,5/2/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6466,82, ,A5,242 BAY 23RD STREET, ,11214,1,0,1,1783,1320,1945,1,A5,775000,4/10/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6357,45, ,B1,20 BAY 7TH STREET, ,11228,2,0,2,2320,2160,1930,1,B1,0,6/14/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6359,25, ,B1,25 BAY 8TH STREET, ,11228,2,0,2,2320,2160,1930,1,B1,0,11/1/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6359,25, ,B1,25 BAY 8TH STREET, ,11228,2,0,2,2320,2160,1930,1,B1,1200000,2/14/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,28, ,B1,8627 15TH AVENUE, ,11228,2,0,2,2312,2160,1930,1,B1,0,6/14/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,2, ,B1,1543 BENSON AVENUE, ,11228,2,0,2,2383,2242,1930,1,B1,1250000,10/11/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,7, ,B1,1527 BENSON AVENUE, ,11228,2,0,2,2500,2200,1930,1,B1,0,6/11/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,24, ,B3,39 BAY 10TH STREET, ,11228,2,0,2,2135,1622,1930,1,B3,0,11/2/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,34, ,B3,13 BAY 10TH STREET, ,11228,2,0,2,2135,1622,1930,1,B3,0,12/7/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,54, ,B1,30 BAY 11TH STREET, ,11228,2,0,2,2320,2160,1930,1,B1,1500000,6/27/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6364,11, ,B2,71 BAY 13TH STREET, ,11214,2,0,2,3142,1932,1925,1,B2,0,8/27/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6364,25, ,B1,39 BAY 13TH STREET, ,11214,2,0,2,2167,2952,1899,1,B1,1083000,8/13/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6364,33, ,B1,17 BAY 13TH STREET, ,11214,2,0,2,3250,3327,1960,1,B1,1053333,4/27/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6365,23, ,B9,41 BAY 14TH   STREET, ,11214,2,0,2,2726,1600,1955,1,B9,990000,4/6/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6365,51, ,B1,8618 17TH AVE, ,11214,2,0,2,2167,3060,1910,1,B1,999000,10/2/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,26, ,B1,8639 17TH   AVENUE, ,11214,2,0,2,1933,3240,1901,1,B1,0,12/18/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6367,23, ,B3,8647 BAY 16TH STREET, ,11214,2,0,2,1611,1456,1935,1,B3,977000,9/17/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6367,62, ,B3,40 BAY 17TH   STREET, ,11214,2,0,2,4833,2346,1915,1,B3,0,1/13/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6367,66, ,B2,46 BAY 17TH STREET, ,11214,2,0,2,2610,1656,1899,1,B2,950000,11/8/2017
